Well_ID,X(ft),Y(ft),Completion zone, MD (ft),Poro(v/v),Permeability (mD),WOPR (bpd),Np (bls),AI
Well_0,137106.82,83818.47,0.0,4659.791739,0.07440303126784997,3.098396830747647,8.809168145,14473.50351,6527.288321148047
Well_1,132460.98,85832.77,0.0,4868.9005449999995,0.12677697986202321,13.832288977157136,38.67564086,30591.81937,6523.5260633966645
Well_10,134042.86,82411.27,0.0,4749.294657,0.1252363637098571,2.528347289790846,46.36310127,48077.96709,6473.198758986351
Well_11,115725.49,86866.6,0.0,4628.309023,0.08599802980854543,0.6359436783664244,0.0,0.0,6430.629922526055
Well_12,133136.98,93691.55,1.0,4821.390995,0.1305724837279999,2.7603184698665957,0.664631925,1759.350823,6362.714848353495
Well_13,119311.27,89234.02,0.0,4456.551055,0.10753585152963631,0.16432594335770143,22.3425835,54449.32649,6535.346303845485
Well_14,134837.26,83865.82,1.0,4850.482978,0.1448929954830952,6.240243627952524,381.1946278,533816.9191,6602.638483970533
Well_15,109560.26,86833.62,1.0,4478.001183,0.1862690776392272,77.96412166807198,3060.205978,1395743.831,6592.567556353216
Well_16,112898.58,91601.46,1.0,4628.5280379999995,0.15257672018509993,14.217419423261266,1221.216449,1634953.659,6597.02309506022
Well_17,112766.46,88549.74,1.0,4676.039989,0.19187827968904336,47.259957152424924,1367.727037,541573.7719,6655.082290702674
Well_18,117798.78000000001,90645.7,0.0,4476.766377,0.15569865017731815,18.402178194094123,291.0863714,841543.3792,6535.257653756233
Well_19,110189.22,86209.71,0.0,4293.605683,0.08432820691814283,0.5552414212288609,7.082097499,10779.00336,6468.760916146134
Well_2,133634.0,82144.52,0.0,4818.221905,0.10665124964704877,9.42566527245984,5.276534505,13491.503,6454.475166631363
Well_20,133687.47,83554.44,0.0,4756.330722000001,0.09621568092980948,1.9611856932057188,39.54598554,26534.93032,6493.089943744144
Well_21,121120.49,87804.64,0.0,4465.073771,0.1355293811551428,5.875123597673648,1.579448255,1828.953809,6504.434349060193
Well_22,115987.29,91854.91,0.0,4520.571112,0.117983858156421,2.1519692739400877,13.15951626,10422.46412,6501.698982209872
Well_23,139326.01,84776.42,0.0,4553.628966,0.07535569616926313,2.7841460537973797,6.300323704,15145.83419,6469.654446494199
Well_24,142095.82,86042.02,1.0,4622.0417099999995,0.12281404354435702,2.372382176327693,90.3742825,148635.6373,6514.933677765157
Well_25,128136.21,89359.95,1.0,4978.818183,0.16556521105391295,19.63622474459045,1328.452893,567246.2269,6633.693628278411
Well_26,118170.10999999999,89488.69,1.0,4595.273994,0.1651111351973043,9.080860600620088,439.3363422,548437.3921,6661.780729694162
Well_27,129829.39000000001,87756.99,0.0,4873.662794,0.07486531486882604,2.5984313062293096,9.066929788,14352.94726,6530.400862417014
Well_28,120522.78,89987.0,0.0,4521.89,0.1246377851431304,7.00888794051037,131.2352546,303404.4745,6528.779268320247
Well_29,138541.42,82281.79,1.0,4931.744256,0.14659842856104344,5.790967117400475,859.5404205,862760.5484,6588.430241294033
Well_3,140055.0426923077,81792.97384615384,0.8846153846153846,4926.308645538461,0.13237201666184611,3.7075866246998257,1606.279426,2687578.527,6586.112456245834
Well_30,131123.52,84356.27,0.0,4785.126016,0.08698213242649996,0.8770574636895951,1.125125385,1713.545343,6436.910692849167
Well_31,136285.14,86479.95,1.0,4726.807521,0.16750738166066656,50.769417181691075,460.6748425,308151.9557,6611.436360990417
Well_32,128675.17000000001,89882.13,1.0,4960.307323,0.1526852376515217,29.53647015846059,1618.477384,100345.5978,6630.297018580138
Well_33,123960.21,85279.28,1.0,4566.676094,0.14079495086429988,2.665318051135182,0.225081889,294.3976041,6424.713816798742
Well_34,134053.71,84658.45,1.0,4870.701505,0.12898228945242846,3.574509811701472,1475.869991,1167488.319,6613.128042322212
Well_35,122230.80999999998,87539.37,0.0,4513.631544,0.1260993942898571,17.987098486029847,2.201824111,673.7447233,6494.525520976168
Well_36,111749.77999999998,91050.01,1.0,4590.7571880000005,0.13574718149547357,9.1856772802083,376.967843,390879.7803,6591.681278112394
Well_37,134902.25,82632.62,1.0,4873.768495,0.14137511753390472,7.902246798170725,377.6215962,977024.1713,6548.179020057673
Well_38,116803.31,91177.75,1.0,4633.727511,0.14629273565268172,16.77412969603886,932.0029251,1475628.132,6647.429658958754
Well_39,111890.88,91708.68,0.0,4470.558722,0.11060082771272221,13.42479029100749,13.29023317,6073.684352,6469.37810675735
Well_4,109951.43,89343.45,1.0,4579.069384,0.14060666926872717,7.591663634183863,257.113535,258973.075,6611.813169321757
Well_40,126601.3,90679.21,0.0,4768.470967,0.10257526457530429,0.0,49.51812375,3070.123673,6541.952537932046
Well_41,114333.01,91616.66,1.0,4666.308895,0.1347213091973809,9.812579622538973,1056.826177,963794.2495,6623.273759197465
Well_42,136532.27,83571.51,1.0,4810.877539,0.16403193310424988,12.738063799778223,1146.619302,1885817.758,6620.383663197488
Well_43,115684.27,89895.78,1.0,4661.095011,0.18719414624860864,27.178718570158914,2175.493437,7089037.109,6677.045989447589
Well_44,118629.9,88703.87,1.0,4578.335868,0.2219563531103332,89.12639299734285,444.7192127,731289.33,6636.265852727136
Well_45,129176.3,93171.14,0.0,4707.038233,0.07573137067079996,0.746445277458848,0.142503065,221.3019908,6390.293203944915
Well_46,139046.81,84476.47,1.0,4708.28705,0.20435107262814994,57.88985249083574,1249.728244,838445.7098,6649.857918412708
Well_47,137407.15,84099.13,1.0,4767.704218,0.18267849796854993,39.69413123224521,1215.319622,1111940.972,6642.461267335627
Well_48,124094.8,90648.76,1.0,4768.066572,0.19229399679452164,51.663030028109084,464.8824403,891174.6411,6653.786210118891
Well_49,123188.65,88556.29,1.0,4723.025829,0.1575949270859999,19.898725977283924,351.2819158,577674.0751,6627.45460947177
Well_5,123950.95,92227.31,1.0,4796.182001,0.11789586655504988,7.150472885215642,13.72362181,32172.80676,6582.968018991749
Well_6,111035.32,88692.32,1.0,4589.207676999999,0.14537700158031808,6.015431973044921,1033.318772,945414.2314,6647.156890674162
Well_7,112439.69,85560.85,1.0,4549.285528,0.10271623048449996,4.0068947504654195,5.925702694,2160.216465,6486.432394523543
Well_8,127369.74,91739.99,0.0,4730.919132,0.08863291939185708,1.6316999576773785,13.09547433,19931.58628,6500.1586499284695
Well_9,115943.69,86730.44,1.0,4684.875411,0.1312669339982221,0.0,6.434229017,8030.777266,6510.109097547526
